"filename", "language", "JSON with Comments", "sqlite3-editor-database", "JavaScript", "JSON", "TypeScript", "Markdown", "Log", "Docker", "TypeScript JSX", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\@swc.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19, 75
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\aria-hidden.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\clsx.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\framer-motion.js", "JavaScript", 0, 0, 826, 0, 0, 0, 0, 0, 0, 0, 0, 0, 623, 616, 2065
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\get-nonce.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\moment.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\next.js", "JavaScript", 0, 0, 1004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 608, 601, 2213
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\object-assign.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\prop-types.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 65
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\react-is.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\react-number-format.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\react-remove-scroll-bar.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\react-remove-scroll.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 85
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\react-style-singleton.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 55
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\react-textarea-autosize.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\react-transition-group.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 85
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\tabbable.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\tslib.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\use-callback-ref.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 45
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\use-composed-ref.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 25
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\vendor-chunks\use-sidecar.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 35
"c:\projects\r2h\r2h_project_3day_challenge\.next\server\webpack-runtime.js", "JavaScript", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 220
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app-pages-internals.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 31, 127
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\aboutme\page.js", "JavaScript", 0, 0, 3963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2381, 2374, 8718
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\college\page.js", "JavaScript", 0, 0, 3978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2390, 2383, 8751
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\contactme\page.js", "JavaScript", 0, 0, 3978, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2390, 2383, 8751
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\formdata\page.js", "JavaScript", 0, 0, 3972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2387, 2380, 8739
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\layout.js", "JavaScript", 0, 0, 3106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1871, 1864, 6841
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\loading.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 48
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\r2h\page.js", "JavaScript", 0, 0, 1408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 848, 841, 3097
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\rustpage\page.js", "JavaScript", 0, 0, 1403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 845, 838, 3086
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\stack\page.js", "JavaScript", 0, 0, 1468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 884, 877, 3229
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\app\toxpy\page.js", "JavaScript", 0, 0, 1403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 845, 838, 3086
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\main-app.js", "JavaScript", 0, 0, 813, 0, 0, 0, 0, 0, 0, 0, 0, 0, 494, 487, 1794
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\polyfills.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\chunks\webpack.js", "JavaScript", 0, 0, 1294, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 1416
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\css\app\layout.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 27, 17, 213
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\css\app\loading.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 3, 6, 38
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\development\_buildManifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\development\_ssgManifest.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\projects\r2h\r2h_project_3day_challenge\.next\static\webpack\01ade2b8f6f9efae.webpack.hot-update.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
